key,hex,energy,best_pattern_key,max_removal,num_inputs,num_nodes,num_outputs,sim_hex,tt_hex
13,0x000D,7,,0,4,12,1,0x000D,0x000D
569,0x0239,12,implicit_OR_1,2,4,19,1,0x0239,0x0239
772,0x0304,9,,0,4,14,1,0x0304,0x0304
1035,0x040B,10,,0,4,15,1,0x040B,0x040B
1397,0x0575,5,,0,4,10,1,0x0575,0x0575
1402,0x057A,12,,0,4,17,1,0x057A,0x057A
1603,0x0643,17,implicit_OR_0,2,4,24,1,0x0643,0x0643
1888,0x0760,11,,0,4,16,1,0x0760,0x0760
2479,0x09AF,12,implicit_OR_0,2,4,19,1,0x09AF,0x09AF
3906,0x0F42,13,implicit_OR_0,2,4,20,1,0x0F42,0x0F42
4152,0x1038,8,,0,4,13,1,0x1038,0x1038
4168,0x1048,14,,0,4,19,1,0x1048,0x1048
4297,0x10C9,18,implicit_OR_0,2,4,25,1,0x10C9,0x10C9
4740,0x1284,14,implicit_OR_0,2,4,21,1,0x1284,0x1284
4899,0x1323,9,,0,4,14,1,0x1323,0x1323
5070,0x13CE,9,implicit_OR_0,2,4,16,1,0x13CE,0x13CE
5908,0x1714,10,implicit_OR_0,2,4,17,1,0x1714,0x1714
6232,0x1858,13,,0,4,18,1,0x1858,0x1858
6752,0x1A60,11,implicit_OR_1,2,4,18,1,0x1A60,0x1A60
6854,0x1AC6,23,implicit_OR_0,2,4,30,1,0x1AC6,0x1AC6
7359,0x1CBF,13,implicit_OR_1,2,4,20,1,0x1CBF,0x1CBF
7573,0x1D95,8,,0,4,13,1,0x1D95,0x1D95
8158,0x1FDE,14,implicit_OR_1,2,4,21,1,0x1FDE,0x1FDE
8811,0x226B,17,implicit_OR_0,2,4,24,1,0x226B,0x226B
8902,0x22C6,11,,0,4,16,1,0x22C6,0x22C6
9127,0x23A7,8,,0,4,13,1,0x23A7,0x23A7
9231,0x240F,11,implicit_OR_0,2,4,18,1,0x240F,0x240F
10808,0x2A38,9,implicit_OR_0,2,4,16,1,0x2A38,0x2A38
10838,0x2A56,16,,0,4,21,1,0x2A56,0x2A56
12231,0x2FC7,16,,0,4,21,1,0x2FC7,0x2FC7
12384,0x3060,10,,0,4,15,1,0x3060,0x3060
12494,0x30CE,11,,0,4,16,1,0x30CE,0x30CE
12970,0x32AA,5,,0,4,10,1,0x32AA,0x32AA
13763,0x35C3,15,implicit_OR_1,2,4,22,1,0x35C3,0x35C3
14044,0x36DC,11,implicit_OR_0,2,4,18,1,0x36DC,0x36DC
14354,0x3812,14,,0,4,19,1,0x3812,0x3812
14871,0x3A17,16,,0,4,21,1,0x3A17,0x3A17
15153,0x3B31,6,implicit_OR_0,2,4,13,1,0x3B31,0x3B31
15200,0x3B60,13,implicit_OR_0,2,4,20,1,0x3B60,0x3B60
15208,0x3B68,14,implicit_OR_0,2,4,21,1,0x3B68,0x3B68
16539,0x409B,14,implicit_OR_0,2,4,21,1,0x409B,0x409B
16802,0x41A2,13,,0,4,18,1,0x41A2,0x41A2
16818,0x41B2,16,implicit_OR_0,2,4,23,1,0x41B2,0x41B2
17051,0x429B,15,implicit_OR_0,2,4,22,1,0x429B,0x429B
18212,0x4724,14,,0,4,19,1,0x4724,0x4724
18429,0x47FD,13,implicit_OR_1,2,4,20,1,0x47FD,0x47FD
18625,0x48C1,17,implicit_OR_0,2,4,24,1,0x48C1,0x48C1
18994,0x4A32,13,,0,4,18,1,0x4A32,0x4A32
19448,0x4BF8,11,implicit_OR_0,2,4,18,1,0x4BF8,0x4BF8
21013,0x5215,12,,0,4,17,1,0x5215,0x5215
21423,0x53AF,11,implicit_OR_1,2,4,18,1,0x53AF,0x53AF
21463,0x53D7,13,implicit_OR_1,2,4,20,1,0x53D7,0x53D7
22938,0x599A,10,implicit_OR_1,2,4,17,1,0x599A,0x599A
23213,0x5AAD,14,,0,4,19,1,0x5AAD,0x5AAD
23344,0x5B30,15,,0,4,20,1,0x5B30,0x5B30
23977,0x5DA9,11,implicit_OR_0,2,4,18,1,0x5DA9,0x5DA9
24321,0x5F01,8,implicit_OR_0,2,4,15,1,0x5F01,0x5F01
24546,0x5FE2,11,,0,4,16,1,0x5FE2,0x5FE2
24605,0x601D,13,implicit_OR_1,2,4,20,1,0x601D,0x601D
24938,0x616A,15,,0,4,20,1,0x616A,0x616A
25739,0x648B,12,implicit_OR_0,2,4,19,1,0x648B,0x648B
25970,0x6572,16,,0,4,21,1,0x6572,0x6572
26634,0x680A,15,implicit_OR_0,2,4,22,1,0x680A,0x680A
26695,0x6847,15,,0,4,20,1,0x6847,0x6847
27037,0x699D,22,implicit_OR_0,2,4,29,1,0x699D,0x699D
28458,0x6F2A,8,implicit_OR_0,2,4,15,1,0x6F2A,0x6F2A
28822,0x7096,15,implicit_OR_1,2,4,22,1,0x7096,0x7096
28908,0x70EC,9,implicit_OR_0,2,4,16,1,0x70EC,0x70EC
29046,0x7176,13,,0,4,18,1,0x7176,0x7176
33323,0x822B,13,,0,4,18,1,0x822B,0x822B
34062,0x850E,15,implicit_OR_0,2,4,22,1,0x850E,0x850E
36707,0x8F63,14,,0,4,19,1,0x8F63,0x8F63
37196,0x914C,10,implicit_OR_0,2,4,17,1,0x914C,0x914C
37258,0x918A,12,implicit_OR_0,2,4,19,1,0x918A,0x918A
37804,0x93AC,13,implicit_OR_0,2,4,20,1,0x93AC,0x93AC
38289,0x9591,9,,0,4,14,1,0x9591,0x9591
38647,0x96F7,13,implicit_OR_1,2,4,20,1,0x96F7,0x96F7
39191,0x9917,14,,0,4,19,1,0x9917,0x9917
39925,0x9BF5,12,implicit_OR_1,2,4,19,1,0x9BF5,0x9BF5
40842,0x9F8A,8,implicit_OR_0,2,4,15,1,0x9F8A,0x9F8A
41690,0xA2DA,16,,0,4,21,1,0xA2DA,0xA2DA
42930,0xA7B2,15,implicit_OR_1,2,4,22,1,0xA7B2,0xA7B2
43360,0xA960,17,,0,4,22,1,0xA960,0xA960
46916,0xB744,9,implicit_OR_1,2,4,16,1,0xB744,0xB744
47277,0xB8AD,13,implicit_OR_1,2,4,20,1,0xB8AD,0xB8AD
48150,0xBC16,15,,0,4,20,1,0xBC16,0xBC16
48291,0xBCA3,11,implicit_OR_0,2,4,18,1,0xBCA3,0xBCA3
48625,0xBDF1,12,implicit_OR_1,2,4,19,1,0xBDF1,0xBDF1
48873,0xBEE9,14,implicit_OR_0,2,4,21,1,0xBEE9,0xBEE9
48950,0xBF36,12,implicit_OR_1,2,4,19,1,0xBF36,0xBF36
49736,0xC248,15,implicit_OR_0,2,4,22,1,0xC248,0xC248
50354,0xC4B2,16,,0,4,21,1,0xC4B2,0xC4B2
51046,0xC766,10,implicit_OR_0,2,4,17,1,0xC766,0xC766
52098,0xCB82,13,,0,4,18,1,0xCB82,0xCB82
52182,0xCBD6,14,implicit_OR_0,2,4,21,1,0xCBD6,0xCBD6
52887,0xCE97,18,,0,4,23,1,0xCE97,0xCE97
54041,0xD319,15,implicit_OR_1,2,4,22,1,0xD319,0xD319
54054,0xD326,16,,0,4,21,1,0xD326,0xD326
54391,0xD477,9,implicit_OR_0,2,4,16,1,0xD477,0xD477
54500,0xD4E4,10,implicit_OR_0,2,4,17,1,0xD4E4,0xD4E4
54608,0xD550,7,,0,4,12,1,0xD550,0xD550
55936,0xDA80,9,implicit_OR_0,2,4,16,1,0xDA80,0xDA80
56314,0xDBFA,9,implicit_OR_0,2,4,16,1,0xDBFA,0xDBFA
58885,0xE605,14,,0,4,19,1,0xE605,0xE605
58999,0xE677,12,implicit_OR_1,2,4,19,1,0xE677,0xE677
59706,0xE93A,20,implicit_OR_0,2,4,27,1,0xE93A,0xE93A
60657,0xECF1,11,implicit_OR_1,2,4,18,1,0xECF1,0xECF1
61419,0xEFEB,8,implicit_OR_1,2,4,15,1,0xEFEB,0xEFEB
62527,0xF43F,11,implicit_OR_1,2,4,18,1,0xF43F,0xF43F
62695,0xF4E7,14,implicit_OR_1,2,4,21,1,0xF4E7,0xF4E7
62884,0xF5A4,10,,0,4,15,1,0xF5A4,0xF5A4
64633,0xFC79,19,,0,4,24,1,0xFC79,0xFC79
