value_decimal,initial_num_gates,lowest_gates,delta_gates
20224,4,4,0
36608,3,3,0
22272,5,5,0
51712,5,5,0
35840,5,5,0
3983,6,6,0
32512,4,4,0
35535,5,5,0
1036,5,5,0
1087,5,5,0
3003,4,4,0
59904,4,4,0
28672,4,4,0
41642,5,5,0
34984,5,5,0
28927,4,4,0
43008,6,4,2
1423,4,4,0
21504,7,5,2
21877,7,5,2
16469,4,4,0
2047,5,5,0
1911,3,3,0
29296,5,5,0
28799,6,5,1
53333,5,5,0
63624,4,4,0
32947,8,5,3
34959,6,4,2
14344,10,5,5
29696,6,5,1
32768,5,5,0
8971,6,5,1
9984,7,6,1
54613,5,5,0
5461,5,5,0
41196,5,5,0
20567,7,6,1
35471,8,5,3
47240,7,7,0
16170,5,5,0
30551,6,6,0
7487,6,6,0
32853,5,5,0
12405,7,7,0
16463,9,6,3
29218,8,5,3
10912,9,6,3
32576,6,5,1
9637,6,6,0
49264,9,6,3
57890,7,6,1
43632,8,8,0
12785,8,5,3
2955,6,7,-1
16399,6,6,0
19534,6,6,0
3247,8,5,3
18191,8,5,3
2562,6,6,0
2764,8,7,1
53504,6,6,0
12595,6,6,0
30064,9,6,3
61648,6,6,0
13616,9,6,3
43776,6,6,0
13600,9,6,3
8192,6,6,0
11019,10,6,4
65288,7,5,2
47891,6,6,0
29523,8,7,1
36746,7,6,1
63360,7,6,1
13617,6,6,0
47792,8,6,2
34928,9,6,3
15034,6,6,0
44172,6,7,-1
9732,11,6,5
50240,9,6,3
44808,9,8,1
36362,8,6,2
5951,8,6,2
50624,8,6,2
4592,9,6,3
33587,6,6,0
10764,9,6,3
32810,8,6,2
32991,7,6,1
22528,7,6,1
32780,7,6,1
4344,8,6,2
7517,7,7,0
14335,7,5,2
42791,7,6,1
4447,8,6,2
2284,7,6,1
5495,8,8,0
3871,8,6,2
45553,8,8,0
19677,8,8,0
4155,7,6,1
45557,7,6,1
56591,7,7,0
22352,8,6,2
30079,6,6,0
3952,9,6,3
25760,6,6,0
53584,7,6,1
32996,11,6,5
20700,6,6,0
56332,7,7,0
1638,7,6,1
15088,7,6,1
20522,11,6,5
53299,10,6,4
16298,7,6,1
45308,7,7,0
36643,7,6,1
3336,6,6,0
4319,9,6,3
56784,6,6,0
50252,8,6,2
3340,6,6,0
1024,7,7,0
47888,7,6,1
1826,8,6,2
16187,7,7,0
41519,8,6,2
16592,9,7,2
61556,7,6,1
25852,10,8,2
28727,8,7,1
37333,8,7,1
20855,9,9,0
14396,7,7,0
12689,10,7,3
50790,8,6,2
53496,8,8,0
36749,7,7,0
7984,8,8,0
37727,7,6,1
30020,7,7,0
34176,10,7,3
10151,8,8,0
1408,13,7,6
30832,8,7,1
15436,10,7,3
57175,7,6,1
41548,9,7,2
24347,7,7,0
55344,14,7,7
7940,9,7,2
1476,9,7,2
52430,8,6,2
5599,9,8,1
30485,8,7,1
9504,11,7,4
25314,8,7,1
16432,8,7,1
9228,9,7,2
33331,10,7,3
18636,8,7,1
62288,7,6,1
8012,8,8,0
43939,9,7,2
58096,8,7,1
32672,7,7,0
1839,10,7,3
12530,9,7,2
49173,10,7,3
45075,14,7,7
28979,12,8,4
32775,9,7,2
59392,9,8,1
50653,8,7,1
1231,11,7,4
19717,9,7,2
23839,10,9,1
18442,11,7,4
43048,10,8,2
51714,10,7,3
2995,7,7,0
18568,8,7,1
1927,7,7,0
17934,14,7,7
41393,9,9,0
43912,9,7,2
1811,8,7,1
49380,10,7,3
3488,12,7,5
8961,7,7,0
2319,9,7,2
14384,7,6,1
1392,12,7,5
6674,10,7,3
42277,7,7,0
17671,7,7,0
62224,10,7,3
43728,9,9,0
41024,9,7,2
23323,7,7,0
20983,9,7,2
19020,7,7,0
23760,10,7,3
24780,10,7,3
2911,9,8,1
58560,8,8,0
44963,8,7,1
61120,7,7,0
4308,10,7,3
49331,11,8,3
45919,7,7,0
36000,10,8,2
15153,8,7,1
17668,10,7,3
20739,8,7,1
33543,13,7,6
39296,9,7,2
43983,10,7,3
1284,8,6,2
20632,9,7,2
47308,8,8,0
49603,8,7,1
23539,9,7,2
31234,13,7,6
41168,10,7,3
16490,10,8,2
45887,10,7,3
36558,9,7,2
29306,10,8,2
2457,7,7,0
64597,8,7,1
62416,7,7,0
11183,8,7,1
27328,7,7,0
12496,9,7,2
10766,8,7,1
17247,11,7,4
61664,7,7,0
26116,12,7,5
51384,11,7,4
47893,10,7,3
28794,8,7,1
48140,9,8,1
62967,8,6,2
41123,9,7,2
58789,7,7,0
45299,9,8,1
32927,11,7,4
12978,8,8,0
10240,8,7,1
49157,11,7,4
60544,7,7,0
54033,10,8,2
17715,11,7,4
4357,8,7,1
6666,8,7,1
34975,14,7,7
5533,9,8,1
26118,8,7,1
2321,8,7,1
52531,9,7,2
13061,10,7,3
1136,10,7,3
26436,10,7,3
32581,8,7,1
36100,11,7,4
30643,10,7,3
51360,11,7,4
42188,10,8,2
45858,10,7,3
51651,9,7,2
51340,9,7,2
32571,7,7,0
42247,11,7,4
56607,11,9,2
16324,10,7,3
2315,10,7,3
15280,7,7,0
44429,8,8,0
2702,9,9,0
1802,10,7,3
63648,9,9,0
15159,10,9,1
1281,7,7,0
12450,12,7,5
41180,10,7,3
19628,10,7,3
19395,7,7,0
6946,13,7,6
18687,9,7,2
32931,9,7,2
56816,8,7,1
27696,9,7,2
14592,9,7,2
5060,12,7,5
7615,11,8,3
54239,9,6,3
20953,10,9,1
11178,10,7,3
4215,10,7,3
22487,11,8,3
9248,13,8,5
17454,10,8,2
22399,10,8,2
47879,11,8,3
21283,11,8,3
54661,9,8,1
49856,9,8,1
28792,9,8,1
44680,8,8,0
37080,12,8,4
39305,10,10,0
29325,10,8,2
33073,11,8,3
3923,11,8,3
9156,11,8,3
2023,12,8,4
3791,9,8,1
64315,8,7,1
29432,10,8,2
21623,10,8,2
18243,12,9,3
13429,9,8,1
2931,11,8,3
18314,11,8,3
45135,8,8,0
5377,10,8,2
44704,8,8,0
56653,9,8,1
32632,10,8,2
34987,8,7,1
35044,13,9,4
61519,8,8,0
31351,8,8,0
3317,10,9,1
5379,13,8,5
2125,11,8,3
50688,9,8,1
17757,11,8,3
4011,8,7,1
26199,12,8,4
16657,9,7,2
39315,9,7,2
43148,9,7,2
54271,8,7,1
21696,13,8,5
2899,10,8,2
48640,9,8,1
44325,10,9,1
20698,10,9,1
33959,11,8,3
41552,11,8,3
39307,9,8,1
30501,13,9,4
47136,12,8,4
5583,11,8,3
58533,10,8,2
20765,11,8,3
29344,12,8,4
33280,8,7,1
33025,13,8,5
50672,9,9,0
3240,10,8,2
18150,9,9,0
41658,10,8,2
2728,10,8,2
54704,11,8,3
63626,9,9,0
29649,10,8,2
1475,11,8,3
62267,10,8,2
44868,9,9,0
35048,9,8,1
45059,8,8,0
2993,11,8,3
35375,9,8,1
21727,11,8,3
2489,11,8,3
18368,11,8,3
53523,11,8,3
5183,8,9,-1
23248,9,9,0
14904,11,8,3
8290,15,8,7
26383,9,8,1
9024,10,8,2
58176,14,8,6
9903,11,8,3
2884,11,9,2
53059,9,9,0
23146,10,8,2
15496,11,8,3
38199,14,9,5
8197,14,8,6
40277,9,10,-1
16389,8,7,1
45939,9,8,1
33570,12,8,4
38920,11,8,3
60524,8,8,0
39313,11,10,1
49364,9,9,0
62178,8,7,1
49371,10,10,0
18039,8,8,0
54609,11,8,3
23043,12,8,4
13256,8,8,0
58470,10,9,1
8448,9,8,1
47445,11,8,3
34727,10,9,1
4249,9,8,1
6890,9,8,1
11263,10,7,3
5888,8,8,0
1058,14,8,6
29226,10,8,2
44811,8,8,0
45264,12,7,5
4123,8,8,0
38963,9,8,1
10096,11,9,2
32245,9,7,2
23112,9,8,1
3776,10,8,2
16392,12,8,4
8485,11,8,3
28732,10,7,3
35626,9,8,1
3716,12,8,4
54043,14,8,6
1003,10,9,1
1102,10,8,2
1229,9,8,1
1185,13,12,1
1021,11,10,1
1022,12,11,1
1006,12,10,2
1325,9,8,1
1306,13,12,1
1354,12,11,1
1238,13,13,0
1217,12,11,1
1001,16,15,1
1005,14,12,2
1405,11,12,-1
1386,11,9,2
1480,10,8,2
1435,13,12,1
1441,13,10,3
1366,14,12,2
1431,14,12,2
1389,14,11,3
1369,13,11,2
1404,13,12,1
1489,10,8,2
1553,10,10,0
1434,12,10,2
1516,11,9,2
1528,11,9,2
1618,14,14,0
1486,12,10,2
1462,16,15,1
1494,16,16,0
1573,18,11,7
1632,12,9,3
1426,14,13,1
1646,13,9,4
1497,13,11,2
1639,13,10,3
1636,11,10,1
1652,11,9,2
1651,13,13,0
1679,8,8,0
1654,11,9,2
1384,15,14,1
1670,12,11,1
1637,15,11,4
1674,11,10,1
1633,16,15,1
1698,11,9,2
1672,12,11,1
1640,16,14,2
1662,16,11,5
1702,10,8,2
1710,11,8,3
1667,13,13,0
1695,12,8,4
1682,16,13,3
1657,18,14,4
1708,13,11,2
1712,15,10,5
1726,13,12,1
1718,12,12,0
1641,17,14,3
1659,17,14,3
1723,13,12,1
1727,11,10,1
1643,17,15,2
1560,21,15,6
1770,11,11,0
1762,13,11,2
1743,11,12,-1
1776,11,11,0
1724,15,12,3
1783,11,11,0
1778,9,9,0
1767,16,11,5
1751,14,12,2
1782,12,9,3
1699,16,14,2
1713,17,13,4
1689,14,11,3
1779,10,9,1
1717,15,15,0
1791,10,8,2
1768,15,11,4
1725,15,14,1
1763,15,13,2
1910,14,12,2
1785,12,11,1
1790,11,11,0
1922,13,10,3
1720,19,17,2
1771,16,14,2
1786,12,11,1
1941,12,11,1
1923,13,12,1
1936,15,10,5
1955,10,11,-1
1951,11,11,0
1915,12,11,1
1957,10,8,2
1949,13,12,1
1926,18,13,5
1958,13,10,3
1953,13,10,3
1942,15,12,3
1898,12,11,1
1948,15,15,0
1913,15,15,0
1956,14,13,1
1943,13,12,1
1912,12,11,1
1966,12,10,2
1964,14,11,3
1970,15,13,2
1976,11,11,0
1938,17,15,2
1969,15,13,2
1972,12,12,0
1973,12,12,0
1965,11,10,1
1914,13,13,0
1981,14,13,1
2022,14,10,4
1980,13,12,1
2020,12,12,0
2026,11,12,-1
2019,13,12,1
1978,12,12,0
2024,13,11,2
2017,13,13,0
2031,10,8,2
2027,12,12,0
1961,15,15,0
2034,11,9,2
2030,12,11,1
2040,8,8,0
2033,11,9,2
2038,15,12,3
2042,12,11,1
2046,14,14,0
2153,13,11,2
2130,13,11,2
2200,10,8,2
2041,14,13,1
2189,9,7,2
2185,13,11,2
2203,12,7,5
2178,13,11,2
2190,11,10,1
2219,9,7,2
2207,12,12,0
2194,15,14,1
2217,13,12,1
2182,18,13,5
2211,14,12,2
2236,14,9,5
2183,13,12,1
2283,9,9,0
2177,17,12,5
2206,15,14,1
2278,15,11,4
2225,13,11,2
2251,12,9,3
2291,7,7,0
2295,10,9,1
2272,12,9,3
2281,13,13,0
2287,11,9,2
2262,16,13,3
2297,13,13,0
2242,11,11,0
2302,13,10,3
2214,14,12,2
2289,15,12,3
2392,14,14,0
2294,14,12,2
2336,17,11,6
2448,12,10,2
2459,13,10,3
2449,11,10,1
2425,12,10,2
2456,13,10,3
2408,16,16,0
2475,11,8,3
2472,13,10,3
2483,11,11,0
2467,12,11,1
2473,9,9,0
2488,13,10,3
2482,15,11,4
2458,15,10,5
2450,16,16,0
2490,13,13,0
2513,11,9,2
2511,11,10,1
2493,16,11,5
2455,17,13,4
2454,14,13,1
2539,14,12,2
2528,15,10,5
2476,16,15,1
2545,9,9,0
2537,12,12,0
2555,11,11,0
2492,15,13,2
2534,15,12,3
2553,12,8,4
2544,11,10,1
2531,15,12,3
2498,15,14,1
2462,17,15,2
2552,11,10,1
2597,11,10,1
2543,11,11,0
2551,14,13,1
2550,12,12,0
2547,11,10,1
2542,13,12,1
2526,17,14,3
2554,11,10,1
2649,10,9,1
2693,10,9,1
2530,19,15,4
2646,11,9,2
2535,15,14,1
2661,10,10,0
2739,9,9,0
2731,10,8,2
2669,15,15,0
2709,9,9,0
2718,14,11,3
2558,17,18,-1
2738,12,10,2
2711,15,15,0
2741,12,9,3
2744,11,8,3
2723,12,9,3
2667,14,12,2
2743,11,11,0
2732,11,10,1
2727,11,11,0
2742,16,16,0
2770,11,8,3
2755,12,9,3
2773,9,9,0
2733,12,12,0
2758,10,9,1
2765,12,8,4
2771,13,10,3
2769,14,13,1
2779,12,9,3
2776,11,12,-1
2759,13,13,0
2780,11,11,0
2745,12,12,0
2782,10,9,1
2775,12,11,1
2788,12,9,3
2804,11,11,0
2789,13,12,1
2796,10,9,1
2801,12,10,2
2807,10,9,1
2795,12,11,1
2777,14,11,3
2797,12,12,0
2761,12,12,0
2814,9,8,1
2792,13,11,2
2812,11,9,2
2922,12,12,0
2960,11,9,2
2994,13,10,3
2813,11,10,1
2806,13,12,1
2809,12,11,1
2989,15,14,1
3002,9,10,-1
3000,12,10,2
3001,14,10,4
3004,14,11,3
3033,14,9,5
3035,12,8,4
3027,11,11,0
3032,13,13,0
2999,12,10,2
3025,14,12,2
2997,13,10,3
3034,13,13,0
3031,10,10,0
3026,13,13,0
2996,13,12,1
3044,11,11,0
3042,15,10,5
3038,14,14,0
3041,12,12,0
3052,12,12,0
3048,15,13,2
2998,15,15,0
3006,13,12,1
3064,10,9,1
3057,11,10,1
3060,9,9,0
3053,15,14,1
3043,12,12,0
3045,15,12,3
3580,9,9,0
3564,9,9,0
3065,15,13,2
3068,13,12,1
3058,11,10,1
3429,13,13,0
3680,11,9,2
3810,12,9,3
3302,13,10,3
3069,14,14,0
3294,12,10,2
3494,15,15,0
3814,14,9,5
3818,8,8,0
3738,13,14,-1
3816,13,11,2
3825,10,8,2
3836,8,8,0
3826,10,9,1
3838,8,8,0
3751,15,14,1
3823,10,9,1
3811,14,11,3
3827,13,10,3
3830,15,12,3
3889,8,8,0
4082,10,9,1
4081,11,10,1
4088,9,8,1
3831,14,13,1
3819,13,11,2
4087,10,9,1
3809,14,11,3
3478,18,17,1
4086,14,12,2
4222,13,10,3
4022,14,13,1
3817,15,15,0
4103,12,11,1
4089,14,11,3
4091,11,10,1
4201,13,13,0
4333,14,13,1
4094,12,11,1
4290,13,11,2
5064,11,9,2
4929,12,10,2
5042,13,10,3
5174,11,9,2
4653,13,12,1
5196,12,11,1
5245,12,11,1
4837,14,13,1
4993,15,10,5
5291,11,11,0
5269,12,12,0
4809,18,13,5
4847,15,14,1
4230,20,16,4
4777,14,14,0
5097,14,13,1
5442,12,12,0
5270,11,10,1
4801,14,13,1
4841,18,17,1
5354,11,12,-1
5318,14,10,4
4916,13,13,0
5025,11,12,-1
5507,14,13,1
5464,15,14,1
5674,12,9,3
5320,15,14,1
5730,14,15,-1
5666,13,11,2
5764,13,10,3
5782,13,13,0
5802,12,11,1
5759,15,15,0
5786,12,10,2
5742,16,16,0
5822,12,10,2
5783,16,17,-1
5743,18,15,3
5770,15,14,1
5736,17,17,0
5820,14,12,2
5806,14,14,0
5791,16,13,3
5800,18,12,6
5761,16,15,1
5763,17,18,-1
5823,13,12,1
5737,21,15,6
5811,12,11,1
5739,19,17,2
5834,16,16,0
5827,12,11,1
5821,15,14,1
5769,22,14,8
5864,18,14,4
5861,15,13,2
5853,15,15,0
5826,19,15,4
5884,13,12,1
5887,14,11,3
6024,13,8,5
5773,16,16,0
5871,17,15,2
6003,12,11,1
5886,13,12,1
5867,16,16,0
6019,17,12,5
6015,14,10,4
6031,15,13,2
6039,13,10,3
5992,16,12,4
6037,14,13,1
5950,14,14,0
6026,16,11,5
6010,14,11,3
6047,10,10,0
6036,15,14,1
6027,16,13,3
6040,16,13,3
6044,12,12,0
6056,10,9,1
6017,15,15,0
5865,16,14,2
6014,17,15,2
6038,17,17,0
6041,15,12,3
6059,14,11,3
6069,13,13,0
6092,11,9,2
6076,16,13,3
6046,15,15,0
6109,11,10,1
6120,12,11,1
6078,14,13,1
6057,16,15,1
6073,17,14,3
6124,12,12,0
6123,14,13,1
6280,9,8,1
6142,16,13,3
6256,14,11,3
6184,13,12,1
6296,11,8,3
6272,15,13,2
6141,13,13,0
6081,15,14,1
6208,15,11,4
6298,13,10,3
6274,18,18,0
6180,13,10,3
6121,17,16,1
6299,15,9,6
6283,14,12,2
6240,19,17,2
6281,15,12,3
6291,15,12,3
6273,16,11,5
6287,17,13,4
6307,12,12,0
6320,11,10,1
6181,15,13,2
6312,13,11,2
6314,13,13,0
6303,16,12,4
6302,15,14,1
6275,13,11,2
6364,10,9,1
6335,12,12,0
6332,16,11,5
6329,16,13,3
6351,13,13,0
6334,17,13,4
6375,14,11,3
6279,17,17,0
6384,13,10,3
6356,16,14,2
6370,12,12,0
6399,13,9,4
6313,17,13,4
6394,11,11,0
6353,14,13,1
6376,16,14,2
6544,11,9,2
6363,14,14,0
6398,15,12,3
6324,15,14,1
6545,9,9,0
6347,15,15,0
6393,17,13,4
6494,15,15,0
6310,17,15,2
6390,13,12,1
6547,10,10,0
6535,16,16,0
6377,16,15,1
6562,13,10,3
6557,11,9,2
6507,14,14,0
6559,14,11,3
6568,14,12,2
6556,11,11,0
6567,15,13,2
6585,11,9,2
6578,15,12,3
6579,8,7,1
6586,13,13,0
6369,17,17,0
6569,12,11,1
6580,17,16,1
6422,14,13,1
6623,12,9,3
6581,14,14,0
6550,17,17,0
6616,12,12,0
6589,17,14,3
6630,12,11,1
6593,14,10,4
6634,11,10,1
6640,11,13,-2
6649,13,10,3
6641,15,10,5
6588,13,12,1
6642,14,13,1
6627,16,15,1
6648,15,12,3
6633,16,11,5
6834,11,11,0
6637,16,15,1
6847,10,9,1
6691,12,12,0
6780,12,12,0
6856,10,10,0
6831,13,11,2
6833,12,11,1
6841,15,14,1
6827,13,13,0
6848,14,8,6
6864,12,9,3
6844,12,12,0
6839,16,10,6
6823,15,15,0
6862,15,11,4
6821,14,11,3
6869,10,9,1
6763,16,16,0
6817,14,11,3
6863,14,11,3
6824,18,16,2
6878,13,9,4
6859,16,16,0
6868,17,14,3
6885,12,11,1
6876,15,10,5
6911,11,8,3
6883,16,15,1
6871,14,14,0
6894,13,13,0
6875,17,15,2
6901,14,12,2
6870,16,14,2
6873,13,14,-1
6900,13,12,1
7014,13,12,1
6908,14,11,3
6865,17,14,3
7089,12,10,2
7096,14,11,3
7090,15,10,5
6974,15,14,1
7098,12,10,2
7120,14,11,3
6891,16,16,0
7112,12,10,2
7093,12,11,1
6905,17,15,2
7124,13,13,0
7092,14,13,1
7097,15,13,2
7121,15,12,3
6849,17,15,2
7131,10,10,0
7100,16,13,3
7126,18,18,0
7140,10,9,1
7102,15,13,2
7101,14,14,0
6949,16,14,2
7132,13,11,2
7129,14,12,2
7150,11,11,0
7152,9,9,0
7134,14,14,0
7153,13,10,3
7094,15,15,0
7156,12,11,1
7138,14,15,-1
7143,15,14,1
7127,15,12,3
7163,11,8,3
7128,16,15,1
7162,12,10,2
7160,13,10,3
7159,13,12,1
7145,19,19,0
7164,15,12,3
7154,17,14,3
7166,16,13,3
7300,13,13,0
7165,16,15,1
7149,18,16,2
7416,13,11,2
7402,14,13,1
7371,16,16,0
7158,18,16,2
7557,13,12,1
7656,13,13,0
7364,12,12,0
7407,13,13,0
7669,12,8,4
7660,12,12,0
7381,13,13,0
7299,16,15,1
7838,14,13,1
7365,14,11,3
7366,17,15,2
7848,15,12,3
7649,16,15,1
7876,13,13,0
7826,15,15,0
7403,15,13,2
7362,17,16,1
7906,15,15,0
7393,14,12,2
7849,18,17,1
7825,18,16,2
7891,15,15,0
7904,14,12,2
7540,14,13,1
7912,17,16,1
7926,14,12,2
7934,9,9,0
7922,13,12,1
7555,14,14,0
7905,14,11,3
7914,15,14,1
7918,9,8,1
7930,9,9,0
7921,13,12,1
7910,17,17,0
8176,9,8,1
7927,17,15,2
7923,14,13,1
8139,16,12,4
7931,15,15,0
8179,11,8,3
7915,17,14,3
8052,15,13,2
8177,10,8,2
8121,12,12,0
8184,12,12,0
8357,10,8,2
8182,13,13,0
8423,13,10,3
8183,14,12,2
8201,17,12,5
8324,13,10,3
8190,12,11,1
8323,9,9,0
8186,13,11,2
8185,14,12,2
8577,13,12,1
8187,14,14,0
8385,13,12,1
8803,10,9,1
8342,13,13,0
7911,18,17,1
8602,13,12,1
8858,11,11,0
8897,16,13,3
9210,10,9,1
8758,11,10,1
9381,12,10,2
9090,13,11,2
9138,12,11,1
9348,12,12,0
9154,12,11,1
9016,12,12,0
9225,19,16,3
8873,12,13,-1
9306,16,13,3
8980,14,13,1
9392,14,11,3
9455,12,12,0
9423,13,13,0
9419,15,14,1
9585,12,12,0
9442,14,12,2
9042,12,12,0
9394,15,15,0
9497,10,10,0
9421,16,12,4
9636,11,12,-1
9601,13,11,2
9491,12,11,1
9657,12,11,1
9374,16,15,1
9968,11,11,0
9918,14,14,0
10137,14,13,1
9922,14,11,3
9967,14,12,2
10193,12,12,0
10332,10,10,0
9611,13,13,0
9872,16,14,2
9686,16,15,1
9687,14,13,1
9666,15,13,2
10333,9,9,0
10368,11,9,2
10264,14,10,4
9939,16,14,2
10326,18,12,6
10378,13,9,4
10109,15,13,2
10131,12,11,1
10415,9,10,-1
10370,15,10,5
10371,14,11,3
10383,13,12,1
10369,19,15,4
10375,11,10,1
10393,12,9,3
9833,17,16,1
10431,11,11,0
10414,12,12,0
10396,13,11,2
10388,16,14,2
10372,15,15,0
10382,13,12,1
10411,9,9,0
10429,15,10,5
10432,11,8,3
10428,13,12,1
10409,13,13,0
10421,14,12,2
10394,16,15,1
10399,17,14,3
10435,13,9,4
10391,17,14,3
10436,13,13,0
10453,10,11,-1
10493,9,9,0
10474,9,9,0
10390,17,12,5
10477,12,10,2
10440,12,9,3
10460,9,9,0
10434,14,11,3
10478,9,9,0
10494,11,11,0
10455,11,10,1
10479,10,9,1
10456,13,10,3
10446,13,11,2
10461,10,9,1
10447,12,11,1
10475,11,10,1
10438,12,12,0
10398,17,13,4
10517,12,10,2
10441,14,12,2
10437,17,15,2
10641,14,13,1
10665,12,11,1
10454,18,13,5
10664,13,12,1
10667,11,10,1
10683,12,10,2
10618,14,13,1
10562,16,15,1
10583,16,16,0
10626,16,13,3
10649,12,9,3
10693,14,14,0
10663,15,13,2
10684,17,15,2
10701,12,10,2
10681,12,9,3
10688,13,12,1
10644,17,17,0
10691,13,12,1
10687,15,14,1
10648,15,13,2
10710,15,14,1
10686,18,14,4
10713,14,12,2
10696,17,16,1
10566,22,14,8
10712,17,17,0
10647,19,17,2
10751,14,11,3
10655,18,14,4
10733,12,12,0
10646,18,15,3
10827,13,13,0
10881,12,12,0
10731,17,15,2
10711,16,15,1
10920,12,8,4
10735,13,13,0
10749,11,10,1
10719,17,16,1
10923,9,9,0
10884,16,14,2
10908,14,12,2
10746,15,15,0
10887,14,14,0
10714,15,14,1
10949,11,8,3
10925,13,12,1
10910,16,13,3
10929,12,10,2
10958,8,7,1
10964,12,10,2
10750,17,17,0
10921,16,13,3
10968,14,11,3
10973,10,9,1
10940,16,12,4
10976,11,8,3
10974,12,12,0
10984,12,12,0
10979,14,13,1
10987,10,10,0
10970,10,9,1
10983,13,13,0
11006,9,9,0
10967,13,12,1
10969,12,11,1
11004,11,11,0
10989,13,14,-1
11005,12,12,0
10722,16,14,2
10985,17,13,4
11200,14,9,5
11069,14,12,2
11094,16,15,1
11208,16,13,3
11209,12,13,-1
11157,16,14,2
11112,15,14,1
